,카테고리,제목,청원종료일,참여인원,URL
1062,육아/교육,**공고 *** 이사장 승인을 취소해 주십시오,2019-09-04,"18,022",https://www1.president.go.kr/petitions/581820
1063,문화/예술/체육/언론,언론에 대한 정부와 지자체의 광고홍보비를 삭감하여 코로나 경제 위기를 극복하는 데 써주십시오.,2020-06-19,"18,016",https://www1.president.go.kr/petitions/589073
1064,육아/교육,성폭력을 두둔한 박능후 보건복지부 장관의 사퇴를 촉구합니다.,2020-01-02,"17,925",https://www1.president.go.kr/petitions/583869
1065,육아/교육,"외고, 자사고, 국제고 폐지를 철회해 주세요",2019-12-11,"17,889",https://www1.president.go.kr/petitions/583511
1066,육아/교육,장염걸린 아이들 버스로 이동하는 현장체험학습에 보낸 엄마 아동학대를 검토해주세요!,2018-06-18,"17,868",https://www1.president.go.kr/petitions/237093
1067,미래,성범죄 처벌강화,2017-12-04,"17,837",https://www1.president.go.kr/petitions/25966
1068,교통/건축/국토,"10년공공임대 분양전환가.. 문재인 대통령님, 약속을 지켜주십시오",2018-11-23,"17,836",https://www1.president.go.kr/petitions/418822
1069,일자리,"CJ ""갑질횡포""로 글로벌강소기업으로 선정된 ""모비프렌""이 위기에 처해 있습니다. 도와 주십시요.",2019-02-01,"17,792",https://www1.president.go.kr/petitions/485172
1070,문화/예술/체육/언론,故노진규 선수 수술을 막은 한체대 전명규 교수의 파면을 청원합니다,2018-05-08,"17,748",https://www1.president.go.kr/petitions/189801
1071,안전/환경,학교폭력 이대로 안됩니다. 중학교 집단폭력 가해자들의 적법한 처벌을 원합니다.,2018-01-17,"17,724",https://www1.president.go.kr/petitions/69075
1072,보건복지,코로나로인한 소상공인 부가세 일시적 면제,2020-03-27,"17,697",https://www1.president.go.kr/petitions/585714
1073,보건복지,마스크라도 맘편히 구매할수있게해주세요,2020-03-22,"17,683",https://www1.president.go.kr/petitions/585288
1074,보건복지,코로나19  역외유입 방지위한  정책강화 요청,2020-04-17,"17,614",https://www1.president.go.kr/petitions/586791
1075,인권/성평등,N번방 운영자 *** 사형해주세요,2020-04-24,"17,588",https://www1.president.go.kr/petitions/587189
1076,인권/성평등,서울시립대학교 성범죄 조작 사건 / 무고죄 엄벌 적용,2019-01-08,"17,575",https://www1.president.go.kr/petitions/464745
1077,인권/성평등,초등생에게 팬티빨기 과제를 내주고 항상 성희롱을 일삼고 다닌 남교사 김**에 교직파면을 촉구 합니다.,2020-05-28,"17,562",https://www1.president.go.kr/petitions/588456
1078,문화/예술/체육/언론,실내 체육시설 운영중단을 강력 권고를 하셨으면 지원책을 마련해 주십시오.,2020-04-22,"17,547",https://www1.president.go.kr/petitions/586957
1079,정치개혁,신천지를 강제 수사하지 않는 윤석열 검찰총장을 즉각 해임시켜 주세요.,2020-04-05,"17,546",https://www1.president.go.kr/petitions/586404
1080,행정,경기도 선관위의 선거중립 위반을 감사해 주세요,2018-06-04,"17,498",https://www1.president.go.kr/petitions/224767
1081,교통/건축/국토,음주뺑소니사고로 죽은 조카의 죽음이 헛되지 않도록 도와주세요.,2019-03-25,"17,491",https://www1.president.go.kr/petitions/537251
1082,보건복지,코로나 자가격리 위반 확진자들에게 구상권 청구를 요청합니다.,2020-04-29,"17,451",https://www1.president.go.kr/petitions/587437
1083,외교/통일/국방,"운전병 입대, 훈련중 사고, 형사재판, 그리고 민사재판 진행중~",2019-08-15,"17,437",https://www1.president.go.kr/petitions/581487
1084,인권/성평등,내란범 전두환 · 노태우 경찰 경호 중단 국민청원,2018-06-16,"17,413",https://www1.president.go.kr/petitions/235120
1085,경제민주화,천재지변(코로나바이러스)로 인한 한시적인 공매도 폐지는 오늘 바로 시행하셔야 합니다,2020-03-05,"17,399",https://www1.president.go.kr/petitions/584911
